,Leverage,Profitability,Investment,Dividend Yield
2/5/2019,17.7,0.136422559,0.156769834,3.50%
2/6/2019,17.7,0.136422559,0.156769834,3.50%
2/7/2019,17.7,0.136422559,0.156769834,3.50%
2/8/2019,17.7,0.136422559,0.156769834,3.50%
2/9/2019,17.7,0.136422559,0.156769834,3.50%
2/10/2019,17.7,0.136422559,0.156769834,3.50%
2/11/2019,17.7,0.136422559,0.156769834,3.50%
2/12/2019,17.7,0.136422559,0.156769834,3.50%
2/13/2019,17.7,0.136422559,0.156769834,3.50%
2/14/2019,17.7,0.136422559,0.156769834,3.50%
2/15/2019,17.7,0.136422559,0.156769834,3.50%
2/16/2019,17.7,0.136422559,0.156769834,3.50%
2/17/2019,17.7,0.136422559,0.156769834,3.50%
2/18/2019,17.7,0.136422559,0.156769834,3.50%
2/19/2019,17.7,0.136422559,0.156769834,3.50%
2/20/2019,17.7,0.136422559,0.156769834,3.50%
2/21/2019,17.7,0.136422559,0.156769834,3.50%
2/22/2019,17.7,0.136422559,0.156769834,3.50%
2/23/2019,17.7,0.136422559,0.156769834,3.50%
2/24/2019,17.7,0.136422559,0.156769834,3.50%
2/25/2019,17.7,0.136422559,0.156769834,3.50%
2/26/2019,17.7,0.136422559,0.156769834,3.50%
2/27/2019,17.7,0.136422559,0.156769834,3.50%
2/28/2019,17.7,0.136422559,0.156769834,3.50%
3/1/2019,17.7,0.136422559,0.156769834,3.50%
3/2/2019,17.7,0.136422559,0.156769834,3.50%
3/3/2019,17.7,0.136422559,0.156769834,3.50%
3/4/2019,17.7,0.136422559,0.156769834,3.50%
3/5/2019,17.7,0.136422559,0.156769834,3.50%
3/6/2019,17.7,0.136422559,0.156769834,3.50%
3/7/2019,17.7,0.136422559,0.156769834,3.50%
3/8/2019,17.7,0.136422559,0.156769834,3.50%
3/9/2019,17.7,0.136422559,0.156769834,3.50%
3/10/2019,17.7,0.136422559,0.156769834,3.50%
3/11/2019,17.7,0.136422559,0.156769834,3.50%
3/12/2019,17.7,0.136422559,0.156769834,3.50%
3/13/2019,17.7,0.136422559,0.156769834,3.50%
3/14/2019,17.7,0.136422559,0.156769834,3.50%
3/15/2019,17.7,0.136422559,0.156769834,3.50%
3/16/2019,17.7,0.136422559,0.156769834,3.50%
3/17/2019,17.7,0.136422559,0.156769834,3.50%
3/18/2019,17.7,0.136422559,0.156769834,3.50%
3/19/2019,17.7,0.136422559,0.156769834,3.50%
3/20/2019,17.7,0.136422559,0.156769834,3.50%
3/21/2019,17.7,0.136422559,0.156769834,3.50%
3/22/2019,17.7,0.136422559,0.156769834,3.50%
3/23/2019,17.7,0.136422559,0.156769834,3.50%
3/24/2019,17.7,0.136422559,0.156769834,3.50%
3/25/2019,17.7,0.136422559,0.156769834,3.50%
3/26/2019,17.7,0.136422559,0.156769834,3.50%
3/27/2019,17.7,0.136422559,0.156769834,3.50%
3/28/2019,17.7,0.136422559,0.156769834,3.50%
3/29/2019,17.7,0.136422559,0.156769834,3.50%
3/30/2019,17.7,0.136422559,0.156769834,3.50%
3/31/2019,17.7,0.136422559,0.156769834,3.50%
4/1/2019,17.7,0.136422559,0.156769834,3.50%
4/2/2019,17.7,0.136422559,0.156769834,3.50%
4/3/2019,17.7,0.136422559,0.156769834,3.50%
4/4/2019,17.7,0.136422559,0.156769834,3.50%
4/5/2019,17.7,0.136422559,0.156769834,3.50%
4/6/2019,17.7,0.136422559,0.156769834,3.50%
4/7/2019,17.7,0.136422559,0.156769834,3.50%
4/8/2019,17.7,0.136422559,0.156769834,3.50%
4/9/2019,17.7,0.136422559,0.156769834,3.50%
4/10/2019,17.7,0.136422559,0.156769834,3.50%
4/11/2019,17.7,0.136422559,0.156769834,3.50%
4/12/2019,17.7,0.136422559,0.156769834,3.50%
4/13/2019,17.7,0.136422559,0.156769834,3.50%
4/14/2019,17.7,0.136422559,0.156769834,3.50%
4/15/2019,17.7,0.136422559,0.156769834,3.50%
4/16/2019,17.7,0.136422559,0.156769834,3.50%
4/17/2019,17.7,0.136422559,0.156769834,3.50%
4/18/2019,17.7,0.136422559,0.156769834,3.50%
4/19/2019,17.7,0.136422559,0.156769834,3.50%
4/20/2019,17.7,0.136422559,0.156769834,3.50%
4/21/2019,17.7,0.136422559,0.156769834,3.50%
4/22/2019,17.7,0.136422559,0.156769834,3.50%
4/23/2019,17.7,0.136422559,0.156769834,3.50%
4/24/2019,17.7,0.136422559,0.156769834,3.50%
4/25/2019,17.7,0.136422559,0.156769834,3.50%
4/26/2019,17.7,0.136422559,0.156769834,3.50%
4/27/2019,17.7,0.136422559,0.156769834,3.50%
4/28/2019,17.7,0.136422559,0.156769834,3.50%
4/29/2019,17.7,0.136422559,0.156769834,3.50%
4/30/2019,17.7,0.136422559,0.156769834,3.50%
5/1/2019,17.7,0.136422559,0.156769834,3.50%
5/2/2019,17.7,0.136422559,0.156769834,3.50%
5/3/2019,17.7,0.136422559,0.156769834,3.50%
5/4/2019,17.7,0.136422559,0.156769834,3.50%
5/5/2019,17.7,0.136422559,0.156769834,3.50%
5/6/2019,17.7,0.136422559,0.156769834,3.50%
5/7/2019,17.7,0.136422559,0.156769834,3.50%
5/8/2019,17.7,0.136422559,0.156769834,3.50%
5/9/2019,17.7,0.136422559,0.156769834,3.50%
5/10/2019,17.7,0.136422559,0.156769834,3.50%
5/11/2019,17.7,0.136422559,0.156769834,3.50%
5/12/2019,17.7,0.136422559,0.156769834,3.50%
5/13/2019,17.7,0.136422559,0.156769834,3.50%
5/14/2019,17.7,0.136422559,0.156769834,3.50%
5/15/2019,17.7,0.136422559,0.156769834,3.50%
5/16/2019,17.7,0.136422559,0.156769834,3.50%
5/17/2019,17.7,0.136422559,0.156769834,3.50%
5/18/2019,17.7,0.136422559,0.156769834,3.50%
5/19/2019,17.7,0.136422559,0.156769834,3.50%
5/20/2019,17.7,0.136422559,0.156769834,3.50%
5/21/2019,17.7,0.136422559,0.156769834,3.50%
5/22/2019,17.7,0.136422559,0.156769834,3.50%
5/23/2019,17.7,0.136422559,0.156769834,3.50%
5/24/2019,17.7,0.136422559,0.156769834,3.50%
5/25/2019,17.7,0.136422559,0.156769834,3.50%
5/26/2019,17.7,0.136422559,0.156769834,3.50%
5/27/2019,17.7,0.136422559,0.156769834,3.50%
5/28/2019,17.7,0.136422559,0.156769834,3.50%
5/29/2019,17.7,0.136422559,0.156769834,3.50%
5/30/2019,17.7,0.136422559,0.156769834,3.50%
5/31/2019,17.7,0.136422559,0.156769834,3.50%
6/1/2019,17.7,0.136422559,0.156769834,3.50%
6/2/2019,17.7,0.136422559,0.156769834,3.50%
6/3/2019,17.7,0.136422559,0.156769834,3.50%
6/4/2019,17.7,0.136422559,0.156769834,3.50%
6/5/2019,17.7,0.136422559,0.156769834,3.50%
6/6/2019,17.7,0.136422559,0.156769834,3.50%
6/7/2019,17.7,0.136422559,0.156769834,3.50%
6/8/2019,17.7,0.136422559,0.156769834,3.50%
6/9/2019,17.7,0.136422559,0.156769834,3.50%
6/10/2019,17.7,0.136422559,0.156769834,3.50%
6/11/2019,17.7,0.136422559,0.156769834,3.50%
6/12/2019,17.7,0.136422559,0.156769834,3.50%
6/13/2019,17.7,0.136422559,0.156769834,3.50%
6/14/2019,17.7,0.136422559,0.156769834,3.50%
6/15/2019,17.7,0.136422559,0.156769834,3.50%
6/16/2019,17.7,0.136422559,0.156769834,3.50%
6/17/2019,17.7,0.136422559,0.156769834,3.50%
6/18/2019,17.7,0.136422559,0.156769834,3.50%
6/19/2019,17.7,0.136422559,0.156769834,3.50%
6/20/2019,17.7,0.136422559,0.156769834,3.50%
6/21/2019,17.7,0.136422559,0.156769834,3.50%
6/22/2019,17.7,0.136422559,0.156769834,3.50%
6/23/2019,17.7,0.136422559,0.156769834,3.50%
6/24/2019,17.7,0.136422559,0.156769834,3.50%
6/25/2019,17.7,0.136422559,0.156769834,3.50%
6/26/2019,17.7,0.136422559,0.156769834,3.50%
6/27/2019,17.7,0.136422559,0.156769834,3.50%
6/28/2019,17.7,0.136422559,0.156769834,3.50%
6/29/2019,17.7,0.136422559,0.156769834,3.50%
6/30/2019,17.7,0.136422559,0.156769834,3.50%
7/1/2019,17.7,0.136422559,0.156769834,3.50%
7/2/2019,17.7,0.136422559,0.156769834,3.50%
7/3/2019,17.7,0.136422559,0.156769834,3.50%
7/4/2019,17.7,0.136422559,0.156769834,3.50%
7/5/2019,17.7,0.136422559,0.156769834,3.50%
7/6/2019,17.7,0.136422559,0.156769834,3.50%
7/7/2019,17.7,0.136422559,0.156769834,3.50%
7/8/2019,17.7,0.136422559,0.156769834,3.50%
7/9/2019,17.7,0.136422559,0.156769834,3.50%
7/10/2019,17.7,0.136422559,0.156769834,3.50%
7/11/2019,17.7,0.136422559,0.156769834,3.50%
7/12/2019,17.7,0.136422559,0.156769834,3.50%
7/13/2019,17.7,0.136422559,0.156769834,3.50%
7/14/2019,17.7,0.136422559,0.156769834,3.50%
7/15/2019,17.7,0.136422559,0.156769834,3.50%
7/16/2019,17.7,0.136422559,0.156769834,3.50%
7/17/2019,17.7,0.136422559,0.156769834,3.50%
7/18/2019,17.7,0.136422559,0.156769834,3.50%
7/19/2019,17.7,0.136422559,0.156769834,3.50%
7/20/2019,17.7,0.136422559,0.156769834,3.50%
7/21/2019,17.7,0.136422559,0.156769834,3.50%
7/22/2019,17.7,0.136422559,0.156769834,3.50%
7/23/2019,17.7,0.136422559,0.156769834,3.50%
7/24/2019,17.7,0.136422559,0.156769834,3.50%
7/25/2019,17.7,0.136422559,0.156769834,3.50%
7/26/2019,17.7,0.136422559,0.156769834,3.50%
7/27/2019,17.7,0.136422559,0.156769834,3.50%
7/28/2019,17.7,0.136422559,0.156769834,3.50%
7/29/2019,17.7,0.136422559,0.156769834,3.50%
7/30/2019,17.7,0.136422559,0.156769834,3.50%
7/31/2019,17.7,0.136422559,0.156769834,3.50%
8/1/2019,17.7,0.136422559,0.156769834,3.50%
8/2/2019,17.7,0.136422559,0.156769834,3.50%
8/3/2019,17.7,0.136422559,0.156769834,3.50%
8/4/2019,17.7,0.136422559,0.156769834,3.50%
8/5/2019,17.7,0.136422559,0.156769834,3.50%
8/6/2019,17.7,0.136422559,0.156769834,3.50%
8/7/2019,17.7,0.136422559,0.156769834,3.50%
8/8/2019,17.7,0.136422559,0.156769834,3.50%
8/9/2019,17.7,0.136422559,0.156769834,3.50%
8/10/2019,17.7,0.136422559,0.156769834,3.50%
8/11/2019,17.7,0.136422559,0.156769834,3.50%
8/12/2019,17.7,0.136422559,0.156769834,3.50%
8/13/2019,17.7,0.136422559,0.156769834,3.50%
8/14/2019,17.7,0.136422559,0.156769834,3.50%
8/15/2019,17.7,0.136422559,0.156769834,3.50%
8/16/2019,17.7,0.136422559,0.156769834,3.50%
8/17/2019,17.7,0.136422559,0.156769834,3.50%
8/18/2019,17.7,0.136422559,0.156769834,3.50%
8/19/2019,17.7,0.136422559,0.156769834,3.50%
8/20/2019,17.7,0.136422559,0.156769834,3.50%
8/21/2019,17.7,0.136422559,0.156769834,3.50%
8/22/2019,17.7,0.136422559,0.156769834,3.50%
8/23/2019,17.7,0.136422559,0.156769834,3.50%
8/24/2019,17.7,0.136422559,0.156769834,3.50%
8/25/2019,17.7,0.136422559,0.156769834,3.50%
8/26/2019,17.7,0.136422559,0.156769834,3.50%
8/27/2019,17.7,0.136422559,0.156769834,3.50%
8/28/2019,17.7,0.136422559,0.156769834,3.50%
8/29/2019,17.7,0.136422559,0.156769834,3.50%
8/30/2019,17.7,0.136422559,0.156769834,3.50%
8/31/2019,17.7,0.136422559,0.156769834,3.50%
9/1/2019,17.7,0.136422559,0.156769834,3.50%
9/2/2019,17.7,0.136422559,0.156769834,3.50%
9/3/2019,17.7,0.136422559,0.156769834,3.50%
9/4/2019,17.7,0.136422559,0.156769834,3.50%
9/5/2019,17.7,0.136422559,0.156769834,3.50%
9/6/2019,17.7,0.136422559,0.156769834,3.50%
9/7/2019,17.7,0.136422559,0.156769834,3.50%
9/8/2019,17.7,0.136422559,0.156769834,3.50%
9/9/2019,17.7,0.136422559,0.156769834,3.50%
9/10/2019,17.7,0.136422559,0.156769834,3.50%
9/11/2019,17.7,0.136422559,0.156769834,3.50%
9/12/2019,17.7,0.136422559,0.156769834,3.50%
9/13/2019,17.7,0.136422559,0.156769834,3.50%
9/14/2019,17.7,0.136422559,0.156769834,3.50%
9/15/2019,17.7,0.136422559,0.156769834,3.50%
9/16/2019,17.7,0.136422559,0.156769834,3.50%
9/17/2019,17.7,0.136422559,0.156769834,3.50%
9/18/2019,17.7,0.136422559,0.156769834,3.50%
9/19/2019,17.7,0.136422559,0.156769834,3.50%
9/20/2019,17.7,0.136422559,0.156769834,3.50%
9/21/2019,17.7,0.136422559,0.156769834,3.50%
9/22/2019,17.7,0.136422559,0.156769834,3.50%
9/23/2019,17.7,0.136422559,0.156769834,3.50%
9/24/2019,17.7,0.136422559,0.156769834,3.50%
9/25/2019,17.7,0.136422559,0.156769834,3.50%
9/26/2019,17.7,0.136422559,0.156769834,3.50%
9/27/2019,17.7,0.136422559,0.156769834,3.50%
9/28/2019,17.7,0.136422559,0.156769834,3.50%
9/29/2019,17.7,0.136422559,0.156769834,3.50%
9/30/2019,17.7,0.136422559,0.156769834,3.50%
10/1/2019,17.7,0.136422559,0.156769834,3.50%
10/2/2019,17.7,0.136422559,0.156769834,3.50%
10/3/2019,17.7,0.136422559,0.156769834,3.50%
10/4/2019,17.7,0.136422559,0.156769834,3.50%
10/5/2019,17.7,0.136422559,0.156769834,3.50%
10/6/2019,17.7,0.136422559,0.156769834,3.50%
10/7/2019,17.7,0.136422559,0.156769834,3.50%
10/8/2019,17.7,0.136422559,0.156769834,3.50%
10/9/2019,17.7,0.136422559,0.156769834,3.50%
10/10/2019,17.7,0.136422559,0.156769834,3.50%
10/11/2019,17.7,0.136422559,0.156769834,3.50%
10/12/2019,17.7,0.136422559,0.156769834,3.50%
10/13/2019,17.7,0.136422559,0.156769834,3.50%
10/14/2019,17.7,0.136422559,0.156769834,3.50%
10/15/2019,17.7,0.136422559,0.156769834,3.50%
10/16/2019,17.7,0.136422559,0.156769834,3.50%
10/17/2019,17.7,0.136422559,0.156769834,3.50%
10/18/2019,17.7,0.136422559,0.156769834,3.50%
10/19/2019,17.7,0.136422559,0.156769834,3.50%
10/20/2019,17.7,0.136422559,0.156769834,3.50%
10/21/2019,17.7,0.136422559,0.156769834,3.50%
10/22/2019,17.7,0.136422559,0.156769834,3.50%
10/23/2019,17.7,0.136422559,0.156769834,3.50%
10/24/2019,17.7,0.136422559,0.156769834,3.50%
10/25/2019,17.7,0.136422559,0.156769834,3.50%
10/26/2019,17.7,0.136422559,0.156769834,3.50%
10/27/2019,17.7,0.136422559,0.156769834,3.50%
10/28/2019,17.7,0.136422559,0.156769834,3.50%
10/29/2019,17.7,0.136422559,0.156769834,3.50%
10/30/2019,17.7,0.136422559,0.156769834,3.50%
10/31/2019,17.7,0.136422559,0.156769834,3.50%
11/1/2019,17.7,0.136422559,0.156769834,3.50%
11/2/2019,17.7,0.136422559,0.156769834,3.50%
11/3/2019,17.7,0.136422559,0.156769834,3.50%
11/4/2019,17.7,0.136422559,0.156769834,3.50%
11/5/2019,17.7,0.136422559,0.156769834,3.50%
11/6/2019,17.7,0.136422559,0.156769834,3.50%
11/7/2019,17.7,0.136422559,0.156769834,3.50%
11/8/2019,17.7,0.136422559,0.156769834,3.50%
11/9/2019,17.7,0.136422559,0.156769834,3.50%
11/10/2019,17.7,0.136422559,0.156769834,3.50%
11/11/2019,17.7,0.136422559,0.156769834,3.50%
11/12/2019,17.7,0.136422559,0.156769834,3.50%
11/13/2019,17.7,0.136422559,0.156769834,3.50%
11/14/2019,17.7,0.136422559,0.156769834,3.50%
11/15/2019,17.7,0.136422559,0.156769834,3.50%
11/16/2019,17.7,0.136422559,0.156769834,3.50%
11/17/2019,17.7,0.136422559,0.156769834,3.50%
11/18/2019,17.7,0.136422559,0.156769834,3.50%
11/19/2019,17.7,0.136422559,0.156769834,3.50%
11/20/2019,17.7,0.136422559,0.156769834,3.50%
11/21/2019,17.7,0.136422559,0.156769834,3.50%
11/22/2019,17.7,0.136422559,0.156769834,3.50%
11/23/2019,17.7,0.136422559,0.156769834,3.50%
11/24/2019,17.7,0.136422559,0.156769834,3.50%
11/25/2019,17.7,0.136422559,0.156769834,3.50%
11/26/2019,17.7,0.136422559,0.156769834,3.50%
11/27/2019,17.7,0.136422559,0.156769834,3.50%
11/28/2019,17.7,0.136422559,0.156769834,3.50%
11/29/2019,17.7,0.136422559,0.156769834,3.50%
11/30/2019,17.7,0.136422559,0.156769834,3.50%
12/1/2019,17.7,0.136422559,0.156769834,3.50%
12/2/2019,17.7,0.136422559,0.156769834,3.50%
12/3/2019,17.7,0.136422559,0.156769834,3.50%
12/4/2019,17.7,0.136422559,0.156769834,3.50%
12/5/2019,17.7,0.136422559,0.156769834,3.50%
12/6/2019,17.7,0.136422559,0.156769834,3.50%
12/7/2019,17.7,0.136422559,0.156769834,3.50%
12/8/2019,17.7,0.136422559,0.156769834,3.50%
12/9/2019,17.7,0.136422559,0.156769834,3.50%
12/10/2019,17.7,0.136422559,0.156769834,3.50%
12/11/2019,17.7,0.136422559,0.156769834,3.50%
12/12/2019,17.7,0.136422559,0.156769834,3.50%
12/13/2019,17.7,0.136422559,0.156769834,3.50%
12/14/2019,17.7,0.136422559,0.156769834,3.50%
12/15/2019,17.7,0.136422559,0.156769834,3.50%
12/16/2019,17.7,0.136422559,0.156769834,3.50%
12/17/2019,17.7,0.136422559,0.156769834,3.50%
12/18/2019,17.7,0.136422559,0.156769834,3.50%
12/19/2019,17.7,0.136422559,0.156769834,3.50%
12/20/2019,17.7,0.136422559,0.156769834,3.50%
12/21/2019,17.7,0.136422559,0.156769834,3.50%
12/22/2019,17.7,0.136422559,0.156769834,3.50%
12/23/2019,17.7,0.136422559,0.156769834,3.50%
12/24/2019,17.7,0.136422559,0.156769834,3.50%
12/25/2019,17.7,0.136422559,0.156769834,3.50%
12/26/2019,17.7,0.136422559,0.156769834,3.50%
12/27/2019,17.7,0.136422559,0.156769834,3.50%
12/28/2019,17.7,0.136422559,0.156769834,3.50%
12/29/2019,17.7,0.136422559,0.156769834,3.50%
12/30/2019,17.7,0.136422559,0.156769834,3.50%
12/31/2019,17.7,0.136422559,0.156769834,3.50%
1/1/2020,95,0.065824894,0.078659453,2.50%
1/2/2020,95,0.065824894,0.078659453,2.50%
1/3/2020,95,0.065824894,0.078659453,2.50%
1/4/2020,95,0.065824894,0.078659453,2.50%
1/5/2020,95,0.065824894,0.078659453,2.50%
1/6/2020,95,0.065824894,0.078659453,2.50%
1/7/2020,95,0.065824894,0.078659453,2.50%
1/8/2020,95,0.065824894,0.078659453,2.50%
1/9/2020,95,0.065824894,0.078659453,2.50%
1/10/2020,95,0.065824894,0.078659453,2.50%
1/11/2020,95,0.065824894,0.078659453,2.50%
1/12/2020,95,0.065824894,0.078659453,2.50%
1/13/2020,95,0.065824894,0.078659453,2.50%
1/14/2020,95,0.065824894,0.078659453,2.50%
1/15/2020,95,0.065824894,0.078659453,2.50%
1/16/2020,95,0.065824894,0.078659453,2.50%
1/17/2020,95,0.065824894,0.078659453,2.50%
1/18/2020,95,0.065824894,0.078659453,2.50%
1/19/2020,95,0.065824894,0.078659453,2.50%
1/20/2020,95,0.065824894,0.078659453,2.50%
1/21/2020,95,0.065824894,0.078659453,2.50%
1/22/2020,95,0.065824894,0.078659453,2.50%
1/23/2020,95,0.065824894,0.078659453,2.50%
1/24/2020,95,0.065824894,0.078659453,2.50%
1/25/2020,95,0.065824894,0.078659453,2.50%
1/26/2020,95,0.065824894,0.078659453,2.50%
1/27/2020,95,0.065824894,0.078659453,2.50%
1/28/2020,95,0.065824894,0.078659453,2.50%
1/29/2020,95,0.065824894,0.078659453,2.50%
1/30/2020,95,0.065824894,0.078659453,2.50%
1/31/2020,95,0.065824894,0.078659453,2.50%
2/1/2020,95,0.065824894,0.078659453,2.50%
2/2/2020,95,0.065824894,0.078659453,2.50%
2/3/2020,95,0.065824894,0.078659453,2.50%
2/4/2020,95,0.065824894,0.078659453,2.50%
2/5/2020,95,0.065824894,0.078659453,2.50%
2/6/2020,95,0.065824894,0.078659453,2.50%
2/7/2020,95,0.065824894,0.078659453,2.50%
2/8/2020,95,0.065824894,0.078659453,2.50%
2/9/2020,95,0.065824894,0.078659453,2.50%
2/10/2020,95,0.065824894,0.078659453,2.50%
2/11/2020,95,0.065824894,0.078659453,2.50%
2/12/2020,95,0.065824894,0.078659453,2.50%
2/13/2020,95,0.065824894,0.078659453,2.50%
2/14/2020,95,0.065824894,0.078659453,2.50%
2/15/2020,95,0.065824894,0.078659453,2.50%
2/16/2020,95,0.065824894,0.078659453,2.50%
2/17/2020,95,0.065824894,0.078659453,2.50%
2/18/2020,95,0.065824894,0.078659453,2.50%
2/19/2020,95,0.065824894,0.078659453,2.50%
2/20/2020,95,0.065824894,0.078659453,2.50%
2/21/2020,95,0.065824894,0.078659453,2.50%
2/22/2020,95,0.065824894,0.078659453,2.50%
2/23/2020,95,0.065824894,0.078659453,2.50%
2/24/2020,95,0.065824894,0.078659453,2.50%
2/25/2020,95,0.065824894,0.078659453,2.50%
2/26/2020,95,0.065824894,0.078659453,2.50%
2/27/2020,95,0.065824894,0.078659453,2.50%
2/28/2020,95,0.065824894,0.078659453,2.50%
2/29/2020,95,0.065824894,0.078659453,2.50%
3/1/2020,95,0.065824894,0.078659453,2.50%
3/2/2020,95,0.065824894,0.078659453,2.50%
3/3/2020,95,0.065824894,0.078659453,2.50%
3/4/2020,95,0.065824894,0.078659453,2.50%
3/5/2020,95,0.065824894,0.078659453,2.50%
3/6/2020,95,0.065824894,0.078659453,2.50%
3/7/2020,95,0.065824894,0.078659453,2.50%
3/8/2020,95,0.065824894,0.078659453,2.50%
3/9/2020,95,0.065824894,0.078659453,2.50%
3/10/2020,95,0.065824894,0.078659453,2.50%
3/11/2020,95,0.065824894,0.078659453,2.50%
3/12/2020,95,0.065824894,0.078659453,2.50%
3/13/2020,95,0.065824894,0.078659453,2.50%
3/14/2020,95,0.065824894,0.078659453,2.50%
3/15/2020,95,0.065824894,0.078659453,2.50%
3/16/2020,95,0.065824894,0.078659453,2.50%
3/17/2020,95,0.065824894,0.078659453,2.50%
3/18/2020,95,0.065824894,0.078659453,2.50%
3/19/2020,95,0.065824894,0.078659453,2.50%
3/20/2020,95,0.065824894,0.078659453,2.50%
3/21/2020,95,0.065824894,0.078659453,2.50%
3/22/2020,95,0.065824894,0.078659453,2.50%
3/23/2020,95,0.065824894,0.078659453,2.50%
3/24/2020,95,0.065824894,0.078659453,2.50%
3/25/2020,95,0.065824894,0.078659453,2.50%
3/26/2020,95,0.065824894,0.078659453,2.50%
3/27/2020,95,0.065824894,0.078659453,2.50%
3/28/2020,95,0.065824894,0.078659453,2.50%
3/29/2020,95,0.065824894,0.078659453,2.50%
3/30/2020,95,0.065824894,0.078659453,2.50%
3/31/2020,95,0.065824894,0.078659453,2.50%
4/1/2020,95,0.065824894,0.078659453,2.50%
4/2/2020,95,0.065824894,0.078659453,2.50%
4/3/2020,95,0.065824894,0.078659453,2.50%
4/4/2020,95,0.065824894,0.078659453,2.50%
4/5/2020,95,0.065824894,0.078659453,2.50%
4/6/2020,95,0.065824894,0.078659453,2.50%
4/7/2020,95,0.065824894,0.078659453,2.50%
4/8/2020,95,0.065824894,0.078659453,2.50%
4/9/2020,95,0.065824894,0.078659453,2.50%
4/10/2020,95,0.065824894,0.078659453,2.50%
4/11/2020,95,0.065824894,0.078659453,2.50%
4/12/2020,95,0.065824894,0.078659453,2.50%
4/13/2020,95,0.065824894,0.078659453,2.50%
4/14/2020,95,0.065824894,0.078659453,2.50%
4/15/2020,95,0.065824894,0.078659453,2.50%
4/16/2020,95,0.065824894,0.078659453,2.50%
4/17/2020,95,0.065824894,0.078659453,2.50%
4/18/2020,95,0.065824894,0.078659453,2.50%
4/19/2020,95,0.065824894,0.078659453,2.50%
4/20/2020,95,0.065824894,0.078659453,2.50%
4/21/2020,95,0.065824894,0.078659453,2.50%
4/22/2020,95,0.065824894,0.078659453,2.50%
4/23/2020,95,0.065824894,0.078659453,2.50%
4/24/2020,95,0.065824894,0.078659453,2.50%
4/25/2020,95,0.065824894,0.078659453,2.50%
4/26/2020,95,0.065824894,0.078659453,2.50%
4/27/2020,95,0.065824894,0.078659453,2.50%
4/28/2020,95,0.065824894,0.078659453,2.50%
4/29/2020,95,0.065824894,0.078659453,2.50%
4/30/2020,95,0.065824894,0.078659453,2.50%
5/1/2020,95,0.065824894,0.078659453,2.50%
5/2/2020,95,0.065824894,0.078659453,2.50%
5/3/2020,95,0.065824894,0.078659453,2.50%
5/4/2020,95,0.065824894,0.078659453,2.50%
5/5/2020,95,0.065824894,0.078659453,2.50%
5/6/2020,95,0.065824894,0.078659453,2.50%
5/7/2020,95,0.065824894,0.078659453,2.50%
5/8/2020,95,0.065824894,0.078659453,2.50%
5/9/2020,95,0.065824894,0.078659453,2.50%
5/10/2020,95,0.065824894,0.078659453,2.50%
5/11/2020,95,0.065824894,0.078659453,2.50%
5/12/2020,95,0.065824894,0.078659453,2.50%
5/13/2020,95,0.065824894,0.078659453,2.50%
5/14/2020,95,0.065824894,0.078659453,2.50%
5/15/2020,95,0.065824894,0.078659453,2.50%
5/16/2020,95,0.065824894,0.078659453,2.50%
5/17/2020,95,0.065824894,0.078659453,2.50%
5/18/2020,95,0.065824894,0.078659453,2.50%
5/19/2020,95,0.065824894,0.078659453,2.50%
5/20/2020,95,0.065824894,0.078659453,2.50%
5/21/2020,95,0.065824894,0.078659453,2.50%
5/22/2020,95,0.065824894,0.078659453,2.50%
5/23/2020,95,0.065824894,0.078659453,2.50%
5/24/2020,95,0.065824894,0.078659453,2.50%
5/25/2020,95,0.065824894,0.078659453,2.50%
5/26/2020,95,0.065824894,0.078659453,2.50%
5/27/2020,95,0.065824894,0.078659453,2.50%
5/28/2020,95,0.065824894,0.078659453,2.50%
5/29/2020,95,0.065824894,0.078659453,2.50%
5/30/2020,95,0.065824894,0.078659453,2.50%
5/31/2020,95,0.065824894,0.078659453,2.50%
6/1/2020,95,0.065824894,0.078659453,2.50%
6/2/2020,95,0.065824894,0.078659453,2.50%
6/3/2020,95,0.065824894,0.078659453,2.50%
6/4/2020,95,0.065824894,0.078659453,2.50%
6/5/2020,95,0.065824894,0.078659453,2.50%
6/6/2020,95,0.065824894,0.078659453,2.50%
6/7/2020,95,0.065824894,0.078659453,2.50%
6/8/2020,95,0.065824894,0.078659453,2.50%
6/9/2020,95,0.065824894,0.078659453,2.50%
6/10/2020,95,0.065824894,0.078659453,2.50%
6/11/2020,95,0.065824894,0.078659453,2.50%
6/12/2020,95,0.065824894,0.078659453,2.50%
6/13/2020,95,0.065824894,0.078659453,2.50%
6/14/2020,95,0.065824894,0.078659453,2.50%
6/15/2020,95,0.065824894,0.078659453,2.50%
6/16/2020,95,0.065824894,0.078659453,2.50%
6/17/2020,95,0.065824894,0.078659453,2.50%
6/18/2020,95,0.065824894,0.078659453,2.50%
6/19/2020,95,0.065824894,0.078659453,2.50%
6/20/2020,95,0.065824894,0.078659453,2.50%
6/21/2020,95,0.065824894,0.078659453,2.50%
6/22/2020,95,0.065824894,0.078659453,2.50%
6/23/2020,95,0.065824894,0.078659453,2.50%
6/24/2020,95,0.065824894,0.078659453,2.50%
6/25/2020,95,0.065824894,0.078659453,2.50%
6/26/2020,95,0.065824894,0.078659453,2.50%
6/27/2020,95,0.065824894,0.078659453,2.50%
6/28/2020,95,0.065824894,0.078659453,2.50%
6/29/2020,95,0.065824894,0.078659453,2.50%
6/30/2020,95,0.065824894,0.078659453,2.50%
