Date,Leverage,Profitability,Investment,Dividend Yield
9/11/2017,2.4,0.00029422,0.333753008,1.20%
9/12/2017,2.4,0.00029422,0.333753008,1.20%
9/13/2017,2.4,0.00029422,0.333753008,1.20%
9/14/2017,2.4,0.00029422,0.333753008,1.20%
9/15/2017,2.4,0.00029422,0.333753008,1.20%
9/16/2017,2.4,0.00029422,0.333753008,1.20%
9/17/2017,2.4,0.00029422,0.333753008,1.20%
9/18/2017,2.4,0.00029422,0.333753008,1.20%
9/19/2017,2.4,0.00029422,0.333753008,1.20%
9/20/2017,2.4,0.00029422,0.333753008,1.20%
9/21/2017,2.4,0.00029422,0.333753008,1.20%
9/22/2017,2.4,0.00029422,0.333753008,1.20%
9/23/2017,2.4,0.00029422,0.333753008,1.20%
9/24/2017,2.4,0.00029422,0.333753008,1.20%
9/25/2017,2.4,0.00029422,0.333753008,1.20%
9/26/2017,2.4,0.00029422,0.333753008,1.20%
9/27/2017,2.4,0.00029422,0.333753008,1.20%
9/28/2017,2.4,0.00029422,0.333753008,1.20%
9/29/2017,2.4,0.00029422,0.333753008,1.20%
9/30/2017,2.4,0.00029422,0.333753008,1.20%
10/1/2017,2.4,0.00029422,0.333753008,1.20%
10/2/2017,2.4,0.00029422,0.333753008,1.20%
10/3/2017,2.4,0.00029422,0.333753008,1.20%
10/4/2017,2.4,0.00029422,0.333753008,1.20%
10/5/2017,2.4,0.00029422,0.333753008,1.20%
10/6/2017,2.4,0.00029422,0.333753008,1.20%
10/7/2017,2.4,0.00029422,0.333753008,1.20%
10/8/2017,2.4,0.00029422,0.333753008,1.20%
10/9/2017,2.4,0.00029422,0.333753008,1.20%
10/10/2017,2.4,0.00029422,0.333753008,1.20%
10/11/2017,2.4,0.00029422,0.333753008,1.20%
10/12/2017,2.4,0.00029422,0.333753008,1.20%
10/13/2017,2.4,0.00029422,0.333753008,1.20%
10/14/2017,2.4,0.00029422,0.333753008,1.20%
10/15/2017,2.4,0.00029422,0.333753008,1.20%
10/16/2017,2.4,0.00029422,0.333753008,1.20%
10/17/2017,2.4,0.00029422,0.333753008,1.20%
10/18/2017,2.4,0.00029422,0.333753008,1.20%
10/19/2017,2.4,0.00029422,0.333753008,1.20%
10/20/2017,2.4,0.00029422,0.333753008,1.20%
10/21/2017,2.4,0.00029422,0.333753008,1.20%
10/22/2017,2.4,0.00029422,0.333753008,1.20%
10/23/2017,2.4,0.00029422,0.333753008,1.20%
10/24/2017,2.4,0.00029422,0.333753008,1.20%
10/25/2017,2.4,0.00029422,0.333753008,1.20%
10/26/2017,2.4,0.00029422,0.333753008,1.20%
10/27/2017,2.4,0.00029422,0.333753008,1.20%
10/28/2017,2.4,0.00029422,0.333753008,1.20%
10/29/2017,2.4,0.00029422,0.333753008,1.20%
10/30/2017,2.4,0.00029422,0.333753008,1.20%
10/31/2017,2.4,0.00029422,0.333753008,1.20%
11/1/2017,2.4,0.00029422,0.333753008,1.20%
11/2/2017,2.4,0.00029422,0.333753008,1.20%
11/3/2017,2.4,0.00029422,0.333753008,1.20%
11/4/2017,2.4,0.00029422,0.333753008,1.20%
11/5/2017,2.4,0.00029422,0.333753008,1.20%
11/6/2017,2.4,0.00029422,0.333753008,1.20%
11/7/2017,2.4,0.00029422,0.333753008,1.20%
11/8/2017,2.4,0.00029422,0.333753008,1.20%
11/9/2017,2.4,0.00029422,0.333753008,1.20%
11/10/2017,2.4,0.00029422,0.333753008,1.20%
11/11/2017,2.4,0.00029422,0.333753008,1.20%
11/12/2017,2.4,0.00029422,0.333753008,1.20%
11/13/2017,2.4,0.00029422,0.333753008,1.20%
11/14/2017,2.4,0.00029422,0.333753008,1.20%
11/15/2017,2.4,0.00029422,0.333753008,1.20%
11/16/2017,2.4,0.00029422,0.333753008,1.20%
11/17/2017,2.4,0.00029422,0.333753008,1.20%
11/18/2017,2.4,0.00029422,0.333753008,1.20%
11/19/2017,2.4,0.00029422,0.333753008,1.20%
11/20/2017,2.4,0.00029422,0.333753008,1.20%
11/21/2017,2.4,0.00029422,0.333753008,1.20%
11/22/2017,2.4,0.00029422,0.333753008,1.20%
11/23/2017,2.4,0.00029422,0.333753008,1.20%
11/24/2017,2.4,0.00029422,0.333753008,1.20%
11/25/2017,2.4,0.00029422,0.333753008,1.20%
11/26/2017,2.4,0.00029422,0.333753008,1.20%
11/27/2017,2.4,0.00029422,0.333753008,1.20%
11/28/2017,2.4,0.00029422,0.333753008,1.20%
11/29/2017,2.4,0.00029422,0.333753008,1.20%
11/30/2017,2.4,0.00029422,0.333753008,1.20%
12/1/2017,2.4,0.00029422,0.333753008,1.20%
12/2/2017,2.4,0.00029422,0.333753008,1.20%
12/3/2017,2.4,0.00029422,0.333753008,1.20%
12/4/2017,2.4,0.00029422,0.333753008,1.20%
12/5/2017,2.4,0.00029422,0.333753008,1.20%
12/6/2017,2.4,0.00029422,0.333753008,1.20%
12/7/2017,2.4,0.00029422,0.333753008,1.20%
12/8/2017,2.4,0.00029422,0.333753008,1.20%
12/9/2017,2.4,0.00029422,0.333753008,1.20%
12/10/2017,2.4,0.00029422,0.333753008,1.20%
12/11/2017,2.4,0.00029422,0.333753008,1.20%
12/12/2017,2.4,0.00029422,0.333753008,1.20%
12/13/2017,2.4,0.00029422,0.333753008,1.20%
12/14/2017,2.4,0.00029422,0.333753008,1.20%
12/15/2017,2.4,0.00029422,0.333753008,1.20%
12/16/2017,2.4,0.00029422,0.333753008,1.20%
12/17/2017,2.4,0.00029422,0.333753008,1.20%
12/18/2017,2.4,0.00029422,0.333753008,1.20%
12/19/2017,2.4,0.00029422,0.333753008,1.20%
12/20/2017,2.4,0.00029422,0.333753008,1.20%
12/21/2017,2.4,0.00029422,0.333753008,1.20%
12/22/2017,2.4,0.00029422,0.333753008,1.20%
12/23/2017,2.4,0.00029422,0.333753008,1.20%
12/24/2017,2.4,0.00029422,0.333753008,1.20%
12/25/2017,2.4,0.00029422,0.333753008,1.20%
12/26/2017,2.4,0.00029422,0.333753008,1.20%
12/27/2017,2.4,0.00029422,0.333753008,1.20%
12/28/2017,2.4,0.00029422,0.333753008,1.20%
12/29/2017,2.4,0.00029422,0.333753008,1.20%
12/30/2017,2.4,0.00029422,0.333753008,1.20%
12/31/2017,2.4,0.00029422,0.333753008,1.20%
1/1/2018,2.3,0.000670532,0.017087072,1.70%
1/2/2018,2.3,0.000670532,0.017087072,1.70%
1/3/2018,2.3,0.000670532,0.017087072,1.70%
1/4/2018,2.3,0.000670532,0.017087072,1.70%
1/5/2018,2.3,0.000670532,0.017087072,1.70%
1/6/2018,2.3,0.000670532,0.017087072,1.70%
1/7/2018,2.3,0.000670532,0.017087072,1.70%
1/8/2018,2.3,0.000670532,0.017087072,1.70%
1/9/2018,2.3,0.000670532,0.017087072,1.70%
1/10/2018,2.3,0.000670532,0.017087072,1.70%
1/11/2018,2.3,0.000670532,0.017087072,1.70%
1/12/2018,2.3,0.000670532,0.017087072,1.70%
1/13/2018,2.3,0.000670532,0.017087072,1.70%
1/14/2018,2.3,0.000670532,0.017087072,1.70%
1/15/2018,2.3,0.000670532,0.017087072,1.70%
1/16/2018,2.3,0.000670532,0.017087072,1.70%
1/17/2018,2.3,0.000670532,0.017087072,1.70%
1/18/2018,2.3,0.000670532,0.017087072,1.70%
1/19/2018,2.3,0.000670532,0.017087072,1.70%
1/20/2018,2.3,0.000670532,0.017087072,1.70%
1/21/2018,2.3,0.000670532,0.017087072,1.70%
1/22/2018,2.3,0.000670532,0.017087072,1.70%
1/23/2018,2.3,0.000670532,0.017087072,1.70%
1/24/2018,2.3,0.000670532,0.017087072,1.70%
1/25/2018,2.3,0.000670532,0.017087072,1.70%
1/26/2018,2.3,0.000670532,0.017087072,1.70%
1/27/2018,2.3,0.000670532,0.017087072,1.70%
1/28/2018,2.3,0.000670532,0.017087072,1.70%
1/29/2018,2.3,0.000670532,0.017087072,1.70%
1/30/2018,2.3,0.000670532,0.017087072,1.70%
1/31/2018,2.3,0.000670532,0.017087072,1.70%
2/1/2018,2.3,0.000670532,0.017087072,1.70%
2/2/2018,2.3,0.000670532,0.017087072,1.70%
2/3/2018,2.3,0.000670532,0.017087072,1.70%
2/4/2018,2.3,0.000670532,0.017087072,1.70%
2/5/2018,2.3,0.000670532,0.017087072,1.70%
2/6/2018,2.3,0.000670532,0.017087072,1.70%
2/7/2018,2.3,0.000670532,0.017087072,1.70%
2/8/2018,2.3,0.000670532,0.017087072,1.70%
2/9/2018,2.3,0.000670532,0.017087072,1.70%
2/10/2018,2.3,0.000670532,0.017087072,1.70%
2/11/2018,2.3,0.000670532,0.017087072,1.70%
2/12/2018,2.3,0.000670532,0.017087072,1.70%
2/13/2018,2.3,0.000670532,0.017087072,1.70%
2/14/2018,2.3,0.000670532,0.017087072,1.70%
2/15/2018,2.3,0.000670532,0.017087072,1.70%
2/16/2018,2.3,0.000670532,0.017087072,1.70%
2/17/2018,2.3,0.000670532,0.017087072,1.70%
2/18/2018,2.3,0.000670532,0.017087072,1.70%
2/19/2018,2.3,0.000670532,0.017087072,1.70%
2/20/2018,2.3,0.000670532,0.017087072,1.70%
2/21/2018,2.3,0.000670532,0.017087072,1.70%
2/22/2018,2.3,0.000670532,0.017087072,1.70%
2/23/2018,2.3,0.000670532,0.017087072,1.70%
2/24/2018,2.3,0.000670532,0.017087072,1.70%
2/25/2018,2.3,0.000670532,0.017087072,1.70%
2/26/2018,2.3,0.000670532,0.017087072,1.70%
2/27/2018,2.3,0.000670532,0.017087072,1.70%
2/28/2018,2.3,0.000670532,0.017087072,1.70%
3/1/2018,2.3,0.000670532,0.017087072,1.70%
3/2/2018,2.3,0.000670532,0.017087072,1.70%
3/3/2018,2.3,0.000670532,0.017087072,1.70%
3/4/2018,2.3,0.000670532,0.017087072,1.70%
3/5/2018,2.3,0.000670532,0.017087072,1.70%
3/6/2018,2.3,0.000670532,0.017087072,1.70%
3/7/2018,2.3,0.000670532,0.017087072,1.70%
3/8/2018,2.3,0.000670532,0.017087072,1.70%
3/9/2018,2.3,0.000670532,0.017087072,1.70%
3/10/2018,2.3,0.000670532,0.017087072,1.70%
3/11/2018,2.3,0.000670532,0.017087072,1.70%
3/12/2018,2.3,0.000670532,0.017087072,1.70%
3/13/2018,2.3,0.000670532,0.017087072,1.70%
3/14/2018,2.3,0.000670532,0.017087072,1.70%
3/15/2018,2.3,0.000670532,0.017087072,1.70%
3/16/2018,2.3,0.000670532,0.017087072,1.70%
3/17/2018,2.3,0.000670532,0.017087072,1.70%
3/18/2018,2.3,0.000670532,0.017087072,1.70%
3/19/2018,2.3,0.000670532,0.017087072,1.70%
3/20/2018,2.3,0.000670532,0.017087072,1.70%
3/21/2018,2.3,0.000670532,0.017087072,1.70%
3/22/2018,2.3,0.000670532,0.017087072,1.70%
3/23/2018,2.3,0.000670532,0.017087072,1.70%
3/24/2018,2.3,0.000670532,0.017087072,1.70%
3/25/2018,2.3,0.000670532,0.017087072,1.70%
3/26/2018,2.3,0.000670532,0.017087072,1.70%
3/27/2018,2.3,0.000670532,0.017087072,1.70%
3/28/2018,2.3,0.000670532,0.017087072,1.70%
3/29/2018,2.3,0.000670532,0.017087072,1.70%
3/30/2018,2.3,0.000670532,0.017087072,1.70%
3/31/2018,2.3,0.000670532,0.017087072,1.70%
4/1/2018,2.3,0.000670532,0.017087072,1.70%
4/2/2018,2.3,0.000670532,0.017087072,1.70%
4/3/2018,2.3,0.000670532,0.017087072,1.70%
4/4/2018,2.3,0.000670532,0.017087072,1.70%
4/5/2018,2.3,0.000670532,0.017087072,1.70%
4/6/2018,2.3,0.000670532,0.017087072,1.70%
4/7/2018,2.3,0.000670532,0.017087072,1.70%
4/8/2018,2.3,0.000670532,0.017087072,1.70%
4/9/2018,2.3,0.000670532,0.017087072,1.70%
4/10/2018,2.3,0.000670532,0.017087072,1.70%
4/11/2018,2.3,0.000670532,0.017087072,1.70%
4/12/2018,2.3,0.000670532,0.017087072,1.70%
4/13/2018,2.3,0.000670532,0.017087072,1.70%
4/14/2018,2.3,0.000670532,0.017087072,1.70%
4/15/2018,2.3,0.000670532,0.017087072,1.70%
4/16/2018,2.3,0.000670532,0.017087072,1.70%
4/17/2018,2.3,0.000670532,0.017087072,1.70%
4/18/2018,2.3,0.000670532,0.017087072,1.70%
4/19/2018,2.3,0.000670532,0.017087072,1.70%
4/20/2018,2.3,0.000670532,0.017087072,1.70%
4/21/2018,2.3,0.000670532,0.017087072,1.70%
4/22/2018,2.3,0.000670532,0.017087072,1.70%
4/23/2018,2.3,0.000670532,0.017087072,1.70%
4/24/2018,2.3,0.000670532,0.017087072,1.70%
4/25/2018,2.3,0.000670532,0.017087072,1.70%
4/26/2018,2.3,0.000670532,0.017087072,1.70%
4/27/2018,2.3,0.000670532,0.017087072,1.70%
4/28/2018,2.3,0.000670532,0.017087072,1.70%
4/29/2018,2.3,0.000670532,0.017087072,1.70%
4/30/2018,2.3,0.000670532,0.017087072,1.70%
5/1/2018,2.3,0.000670532,0.017087072,1.70%
5/2/2018,2.3,0.000670532,0.017087072,1.70%
5/3/2018,2.3,0.000670532,0.017087072,1.70%
5/4/2018,2.3,0.000670532,0.017087072,1.70%
5/5/2018,2.3,0.000670532,0.017087072,1.70%
5/6/2018,2.3,0.000670532,0.017087072,1.70%
5/7/2018,2.3,0.000670532,0.017087072,1.70%
5/8/2018,2.3,0.000670532,0.017087072,1.70%
5/9/2018,2.3,0.000670532,0.017087072,1.70%
5/10/2018,2.3,0.000670532,0.017087072,1.70%
5/11/2018,2.3,0.000670532,0.017087072,1.70%
5/12/2018,2.3,0.000670532,0.017087072,1.70%
5/13/2018,2.3,0.000670532,0.017087072,1.70%
5/14/2018,2.3,0.000670532,0.017087072,1.70%
5/15/2018,2.3,0.000670532,0.017087072,1.70%
5/16/2018,2.3,0.000670532,0.017087072,1.70%
5/17/2018,2.3,0.000670532,0.017087072,1.70%
5/18/2018,2.3,0.000670532,0.017087072,1.70%
5/19/2018,2.3,0.000670532,0.017087072,1.70%
5/20/2018,2.3,0.000670532,0.017087072,1.70%
5/21/2018,2.3,0.000670532,0.017087072,1.70%
5/22/2018,2.3,0.000670532,0.017087072,1.70%
5/23/2018,2.3,0.000670532,0.017087072,1.70%
5/24/2018,2.3,0.000670532,0.017087072,1.70%
5/25/2018,2.3,0.000670532,0.017087072,1.70%
5/26/2018,2.3,0.000670532,0.017087072,1.70%
5/27/2018,2.3,0.000670532,0.017087072,1.70%
5/28/2018,2.3,0.000670532,0.017087072,1.70%
5/29/2018,2.3,0.000670532,0.017087072,1.70%
5/30/2018,2.3,0.000670532,0.017087072,1.70%
5/31/2018,2.3,0.000670532,0.017087072,1.70%
6/1/2018,2.3,0.000670532,0.017087072,1.70%
6/2/2018,2.3,0.000670532,0.017087072,1.70%
6/3/2018,2.3,0.000670532,0.017087072,1.70%
6/4/2018,2.3,0.000670532,0.017087072,1.70%
6/5/2018,2.3,0.000670532,0.017087072,1.70%
6/6/2018,2.3,0.000670532,0.017087072,1.70%
6/7/2018,2.3,0.000670532,0.017087072,1.70%
6/8/2018,2.3,0.000670532,0.017087072,1.70%
6/9/2018,2.3,0.000670532,0.017087072,1.70%
6/10/2018,2.3,0.000670532,0.017087072,1.70%
6/11/2018,2.3,0.000670532,0.017087072,1.70%
6/12/2018,2.3,0.000670532,0.017087072,1.70%
6/13/2018,2.3,0.000670532,0.017087072,1.70%
6/14/2018,2.3,0.000670532,0.017087072,1.70%
6/15/2018,2.3,0.000670532,0.017087072,1.70%
6/16/2018,2.3,0.000670532,0.017087072,1.70%
6/17/2018,2.3,0.000670532,0.017087072,1.70%
6/18/2018,2.3,0.000670532,0.017087072,1.70%
6/19/2018,2.3,0.000670532,0.017087072,1.70%
6/20/2018,2.3,0.000670532,0.017087072,1.70%
6/21/2018,2.3,0.000670532,0.017087072,1.70%
6/22/2018,2.3,0.000670532,0.017087072,1.70%
6/23/2018,2.3,0.000670532,0.017087072,1.70%
6/24/2018,2.3,0.000670532,0.017087072,1.70%
6/25/2018,2.3,0.000670532,0.017087072,1.70%
6/26/2018,2.3,0.000670532,0.017087072,1.70%
6/27/2018,2.3,0.000670532,0.017087072,1.70%
6/28/2018,2.3,0.000670532,0.017087072,1.70%
6/29/2018,2.3,0.000670532,0.017087072,1.70%
6/30/2018,2.3,0.000670532,0.017087072,1.70%
7/1/2018,2.3,0.000670532,0.017087072,1.70%
7/2/2018,2.3,0.000670532,0.017087072,1.70%
7/3/2018,2.3,0.000670532,0.017087072,1.70%
7/4/2018,2.3,0.000670532,0.017087072,1.70%
7/5/2018,2.3,0.000670532,0.017087072,1.70%
7/6/2018,2.3,0.000670532,0.017087072,1.70%
7/7/2018,2.3,0.000670532,0.017087072,1.70%
7/8/2018,2.3,0.000670532,0.017087072,1.70%
7/9/2018,2.3,0.000670532,0.017087072,1.70%
7/10/2018,2.3,0.000670532,0.017087072,1.70%
7/11/2018,2.3,0.000670532,0.017087072,1.70%
7/12/2018,2.3,0.000670532,0.017087072,1.70%
7/13/2018,2.3,0.000670532,0.017087072,1.70%
7/14/2018,2.3,0.000670532,0.017087072,1.70%
7/15/2018,2.3,0.000670532,0.017087072,1.70%
7/16/2018,2.3,0.000670532,0.017087072,1.70%
7/17/2018,2.3,0.000670532,0.017087072,1.70%
7/18/2018,2.3,0.000670532,0.017087072,1.70%
7/19/2018,2.3,0.000670532,0.017087072,1.70%
7/20/2018,2.3,0.000670532,0.017087072,1.70%
7/21/2018,2.3,0.000670532,0.017087072,1.70%
7/22/2018,2.3,0.000670532,0.017087072,1.70%
7/23/2018,2.3,0.000670532,0.017087072,1.70%
7/24/2018,2.3,0.000670532,0.017087072,1.70%
7/25/2018,2.3,0.000670532,0.017087072,1.70%
7/26/2018,2.3,0.000670532,0.017087072,1.70%
7/27/2018,2.3,0.000670532,0.017087072,1.70%
7/28/2018,2.3,0.000670532,0.017087072,1.70%
7/29/2018,2.3,0.000670532,0.017087072,1.70%
7/30/2018,2.3,0.000670532,0.017087072,1.70%
7/31/2018,2.3,0.000670532,0.017087072,1.70%
8/1/2018,2.3,0.000670532,0.017087072,1.70%
8/2/2018,2.3,0.000670532,0.017087072,1.70%
8/3/2018,2.3,0.000670532,0.017087072,1.70%
8/4/2018,2.3,0.000670532,0.017087072,1.70%
8/5/2018,2.3,0.000670532,0.017087072,1.70%
8/6/2018,2.3,0.000670532,0.017087072,1.70%
8/7/2018,2.3,0.000670532,0.017087072,1.70%
8/8/2018,2.3,0.000670532,0.017087072,1.70%
8/9/2018,2.3,0.000670532,0.017087072,1.70%
8/10/2018,2.3,0.000670532,0.017087072,1.70%
8/11/2018,2.3,0.000670532,0.017087072,1.70%
8/12/2018,2.3,0.000670532,0.017087072,1.70%
8/13/2018,2.3,0.000670532,0.017087072,1.70%
8/14/2018,2.3,0.000670532,0.017087072,1.70%
8/15/2018,2.3,0.000670532,0.017087072,1.70%
8/16/2018,2.3,0.000670532,0.017087072,1.70%
8/17/2018,2.3,0.000670532,0.017087072,1.70%
8/18/2018,2.3,0.000670532,0.017087072,1.70%
8/19/2018,2.3,0.000670532,0.017087072,1.70%
8/20/2018,2.3,0.000670532,0.017087072,1.70%
8/21/2018,2.3,0.000670532,0.017087072,1.70%
8/22/2018,2.3,0.000670532,0.017087072,1.70%
8/23/2018,2.3,0.000670532,0.017087072,1.70%
8/24/2018,2.3,0.000670532,0.017087072,1.70%
8/25/2018,2.3,0.000670532,0.017087072,1.70%
8/26/2018,2.3,0.000670532,0.017087072,1.70%
8/27/2018,2.3,0.000670532,0.017087072,1.70%
8/28/2018,2.3,0.000670532,0.017087072,1.70%
8/29/2018,2.3,0.000670532,0.017087072,1.70%
8/30/2018,2.3,0.000670532,0.017087072,1.70%
8/31/2018,2.3,0.000670532,0.017087072,1.70%
9/1/2018,2.3,0.000670532,0.017087072,1.70%
9/2/2018,2.3,0.000670532,0.017087072,1.70%
9/3/2018,2.3,0.000670532,0.017087072,1.70%
9/4/2018,2.3,0.000670532,0.017087072,1.70%
9/5/2018,2.3,0.000670532,0.017087072,1.70%
9/6/2018,2.3,0.000670532,0.017087072,1.70%
9/7/2018,2.3,0.000670532,0.017087072,1.70%
9/8/2018,2.3,0.000670532,0.017087072,1.70%
9/9/2018,2.3,0.000670532,0.017087072,1.70%
9/10/2018,2.3,0.000670532,0.017087072,1.70%
9/11/2018,2.3,0.000670532,0.017087072,1.70%
9/12/2018,2.3,0.000670532,0.017087072,1.70%
9/13/2018,2.3,0.000670532,0.017087072,1.70%
9/14/2018,2.3,0.000670532,0.017087072,1.70%
9/15/2018,2.3,0.000670532,0.017087072,1.70%
9/16/2018,2.3,0.000670532,0.017087072,1.70%
9/17/2018,2.3,0.000670532,0.017087072,1.70%
9/18/2018,2.3,0.000670532,0.017087072,1.70%
9/19/2018,2.3,0.000670532,0.017087072,1.70%
9/20/2018,2.3,0.000670532,0.017087072,1.70%
9/21/2018,2.3,0.000670532,0.017087072,1.70%
9/22/2018,2.3,0.000670532,0.017087072,1.70%
9/23/2018,2.3,0.000670532,0.017087072,1.70%
9/24/2018,2.3,0.000670532,0.017087072,1.70%
9/25/2018,2.3,0.000670532,0.017087072,1.70%
9/26/2018,2.3,0.000670532,0.017087072,1.70%
9/27/2018,2.3,0.000670532,0.017087072,1.70%
9/28/2018,2.3,0.000670532,0.017087072,1.70%
9/29/2018,2.3,0.000670532,0.017087072,1.70%
9/30/2018,2.3,0.000670532,0.017087072,1.70%
10/1/2018,2.3,0.000670532,0.017087072,1.70%
10/2/2018,2.3,0.000670532,0.017087072,1.70%
10/3/2018,2.3,0.000670532,0.017087072,1.70%
10/4/2018,2.3,0.000670532,0.017087072,1.70%
10/5/2018,2.3,0.000670532,0.017087072,1.70%
10/6/2018,2.3,0.000670532,0.017087072,1.70%
10/7/2018,2.3,0.000670532,0.017087072,1.70%
10/8/2018,2.3,0.000670532,0.017087072,1.70%
10/9/2018,2.3,0.000670532,0.017087072,1.70%
10/10/2018,2.3,0.000670532,0.017087072,1.70%
10/11/2018,2.3,0.000670532,0.017087072,1.70%
10/12/2018,2.3,0.000670532,0.017087072,1.70%
10/13/2018,2.3,0.000670532,0.017087072,1.70%
10/14/2018,2.3,0.000670532,0.017087072,1.70%
10/15/2018,2.3,0.000670532,0.017087072,1.70%
10/16/2018,2.3,0.000670532,0.017087072,1.70%
10/17/2018,2.3,0.000670532,0.017087072,1.70%
10/18/2018,2.3,0.000670532,0.017087072,1.70%
10/19/2018,2.3,0.000670532,0.017087072,1.70%
10/20/2018,2.3,0.000670532,0.017087072,1.70%
10/21/2018,2.3,0.000670532,0.017087072,1.70%
10/22/2018,2.3,0.000670532,0.017087072,1.70%
10/23/2018,2.3,0.000670532,0.017087072,1.70%
10/24/2018,2.3,0.000670532,0.017087072,1.70%
10/25/2018,2.3,0.000670532,0.017087072,1.70%
10/26/2018,2.3,0.000670532,0.017087072,1.70%
10/27/2018,2.3,0.000670532,0.017087072,1.70%
10/28/2018,2.3,0.000670532,0.017087072,1.70%
10/29/2018,2.3,0.000670532,0.017087072,1.70%
10/30/2018,2.3,0.000670532,0.017087072,1.70%
10/31/2018,2.3,0.000670532,0.017087072,1.70%
11/1/2018,2.3,0.000670532,0.017087072,1.70%
11/2/2018,2.3,0.000670532,0.017087072,1.70%
11/3/2018,2.3,0.000670532,0.017087072,1.70%
11/4/2018,2.3,0.000670532,0.017087072,1.70%
11/5/2018,2.3,0.000670532,0.017087072,1.70%
11/6/2018,2.3,0.000670532,0.017087072,1.70%
11/7/2018,2.3,0.000670532,0.017087072,1.70%
11/8/2018,2.3,0.000670532,0.017087072,1.70%
11/9/2018,2.3,0.000670532,0.017087072,1.70%
11/10/2018,2.3,0.000670532,0.017087072,1.70%
11/11/2018,2.3,0.000670532,0.017087072,1.70%
11/12/2018,2.3,0.000670532,0.017087072,1.70%
11/13/2018,2.3,0.000670532,0.017087072,1.70%
11/14/2018,2.3,0.000670532,0.017087072,1.70%
11/15/2018,2.3,0.000670532,0.017087072,1.70%
11/16/2018,2.3,0.000670532,0.017087072,1.70%
11/17/2018,2.3,0.000670532,0.017087072,1.70%
11/18/2018,2.3,0.000670532,0.017087072,1.70%
11/19/2018,2.3,0.000670532,0.017087072,1.70%
11/20/2018,2.3,0.000670532,0.017087072,1.70%
11/21/2018,2.3,0.000670532,0.017087072,1.70%
11/22/2018,2.3,0.000670532,0.017087072,1.70%
11/23/2018,2.3,0.000670532,0.017087072,1.70%
11/24/2018,2.3,0.000670532,0.017087072,1.70%
11/25/2018,2.3,0.000670532,0.017087072,1.70%
11/26/2018,2.3,0.000670532,0.017087072,1.70%
11/27/2018,2.3,0.000670532,0.017087072,1.70%
11/28/2018,2.3,0.000670532,0.017087072,1.70%
11/29/2018,2.3,0.000670532,0.017087072,1.70%
11/30/2018,2.3,0.000670532,0.017087072,1.70%
12/1/2018,2.3,0.000670532,0.017087072,1.70%
12/2/2018,2.3,0.000670532,0.017087072,1.70%
12/3/2018,2.3,0.000670532,0.017087072,1.70%
12/4/2018,2.3,0.000670532,0.017087072,1.70%
12/5/2018,2.3,0.000670532,0.017087072,1.70%
12/6/2018,2.3,0.000670532,0.017087072,1.70%
12/7/2018,2.3,0.000670532,0.017087072,1.70%
12/8/2018,2.3,0.000670532,0.017087072,1.70%
12/9/2018,2.3,0.000670532,0.017087072,1.70%
12/10/2018,2.3,0.000670532,0.017087072,1.70%
12/11/2018,2.3,0.000670532,0.017087072,1.70%
12/12/2018,2.3,0.000670532,0.017087072,1.70%
12/13/2018,2.3,0.000670532,0.017087072,1.70%
12/14/2018,2.3,0.000670532,0.017087072,1.70%
12/15/2018,2.3,0.000670532,0.017087072,1.70%
12/16/2018,2.3,0.000670532,0.017087072,1.70%
12/17/2018,2.3,0.000670532,0.017087072,1.70%
12/18/2018,2.3,0.000670532,0.017087072,1.70%
12/19/2018,2.3,0.000670532,0.017087072,1.70%
12/20/2018,2.3,0.000670532,0.017087072,1.70%
12/21/2018,2.3,0.000670532,0.017087072,1.70%
12/22/2018,2.3,0.000670532,0.017087072,1.70%
12/23/2018,2.3,0.000670532,0.017087072,1.70%
12/24/2018,2.3,0.000670532,0.017087072,1.70%
12/25/2018,2.3,0.000670532,0.017087072,1.70%
12/26/2018,2.3,0.000670532,0.017087072,1.70%
12/27/2018,2.3,0.000670532,0.017087072,1.70%
12/28/2018,2.3,0.000670532,0.017087072,1.70%
12/29/2018,2.3,0.000670532,0.017087072,1.70%
12/30/2018,2.3,0.000670532,0.017087072,1.70%
12/31/2018,2.3,0.000670532,0.017087072,1.70%
1/1/2019,2.6,8.03693E-05,0.272336376,1.20%
1/2/2019,2.6,8.03693E-05,0.272336376,1.20%
1/3/2019,2.6,8.03693E-05,0.272336376,1.20%
1/4/2019,2.6,8.03693E-05,0.272336376,1.20%
1/5/2019,2.6,8.03693E-05,0.272336376,1.20%
1/6/2019,2.6,8.03693E-05,0.272336376,1.20%
1/7/2019,2.6,8.03693E-05,0.272336376,1.20%
1/8/2019,2.6,8.03693E-05,0.272336376,1.20%
1/9/2019,2.6,8.03693E-05,0.272336376,1.20%
1/10/2019,2.6,8.03693E-05,0.272336376,1.20%
1/11/2019,2.6,8.03693E-05,0.272336376,1.20%
1/12/2019,2.6,8.03693E-05,0.272336376,1.20%
1/13/2019,2.6,8.03693E-05,0.272336376,1.20%
1/14/2019,2.6,8.03693E-05,0.272336376,1.20%
1/15/2019,2.6,8.03693E-05,0.272336376,1.20%
1/16/2019,2.6,8.03693E-05,0.272336376,1.20%
1/17/2019,2.6,8.03693E-05,0.272336376,1.20%
1/18/2019,2.6,8.03693E-05,0.272336376,1.20%
1/19/2019,2.6,8.03693E-05,0.272336376,1.20%
1/20/2019,2.6,8.03693E-05,0.272336376,1.20%
