,Leverage,Profitability,Investment,Dividend Yield
4/22/2020,-40.1,0.196329072,0.478197674,2.40%
4/23/2020,-40.1,0.196329072,0.478197674,2.40%
4/24/2020,-40.1,0.196329072,0.478197674,2.40%
4/25/2020,-40.1,0.196329072,0.478197674,2.40%
4/26/2020,-40.1,0.196329072,0.478197674,2.40%
4/27/2020,-40.1,0.196329072,0.478197674,2.40%
4/28/2020,-40.1,0.196329072,0.478197674,2.40%
4/29/2020,-40.1,0.196329072,0.478197674,2.40%
4/30/2020,-40.1,0.196329072,0.478197674,2.40%
5/1/2020,-40.1,0.196329072,0.478197674,2.40%
5/2/2020,-40.1,0.196329072,0.478197674,2.40%
5/3/2020,-40.1,0.196329072,0.478197674,2.40%
5/4/2020,-40.1,0.196329072,0.478197674,2.40%
5/5/2020,-40.1,0.196329072,0.478197674,2.40%
5/6/2020,-40.1,0.196329072,0.478197674,2.40%
5/7/2020,-40.1,0.196329072,0.478197674,2.40%
5/8/2020,-40.1,0.196329072,0.478197674,2.40%
5/9/2020,-40.1,0.196329072,0.478197674,2.40%
5/10/2020,-40.1,0.196329072,0.478197674,2.40%
5/11/2020,-40.1,0.196329072,0.478197674,2.40%
5/12/2020,-40.1,0.196329072,0.478197674,2.40%
5/13/2020,-40.1,0.196329072,0.478197674,2.40%
5/14/2020,-40.1,0.196329072,0.478197674,2.40%
5/15/2020,-40.1,0.196329072,0.478197674,2.40%
5/16/2020,-40.1,0.196329072,0.478197674,2.40%
5/17/2020,-40.1,0.196329072,0.478197674,2.40%
5/18/2020,-40.1,0.196329072,0.478197674,2.40%
5/19/2020,-40.1,0.196329072,0.478197674,2.40%
5/20/2020,-40.1,0.196329072,0.478197674,2.40%
5/21/2020,-40.1,0.196329072,0.478197674,2.40%
5/22/2020,-40.1,0.196329072,0.478197674,2.40%
5/23/2020,-40.1,0.196329072,0.478197674,2.40%
5/24/2020,-40.1,0.196329072,0.478197674,2.40%
5/25/2020,-40.1,0.196329072,0.478197674,2.40%
5/26/2020,-40.1,0.196329072,0.478197674,2.40%
5/27/2020,-40.1,0.196329072,0.478197674,2.40%
5/28/2020,-40.1,0.196329072,0.478197674,2.40%
5/29/2020,-40.1,0.196329072,0.478197674,2.40%
5/30/2020,-40.1,0.196329072,0.478197674,2.40%
5/31/2020,-40.1,0.196329072,0.478197674,2.40%
6/1/2020,-40.1,0.196329072,0.478197674,2.40%
6/2/2020,-40.1,0.196329072,0.478197674,2.40%
6/3/2020,-40.1,0.196329072,0.478197674,2.40%
6/4/2020,-40.1,0.196329072,0.478197674,2.40%
6/5/2020,-40.1,0.196329072,0.478197674,2.40%
6/6/2020,-40.1,0.196329072,0.478197674,2.40%
6/7/2020,-40.1,0.196329072,0.478197674,2.40%
6/8/2020,-40.1,0.196329072,0.478197674,2.40%
6/9/2020,-40.1,0.196329072,0.478197674,2.40%
6/10/2020,-40.1,0.196329072,0.478197674,2.40%
6/11/2020,-40.1,0.196329072,0.478197674,2.40%
6/12/2020,-40.1,0.196329072,0.478197674,2.40%
6/13/2020,-40.1,0.196329072,0.478197674,2.40%
6/14/2020,-40.1,0.196329072,0.478197674,2.40%
6/15/2020,-40.1,0.196329072,0.478197674,2.40%
6/16/2020,-40.1,0.196329072,0.478197674,2.40%
6/17/2020,-40.1,0.196329072,0.478197674,2.40%
6/18/2020,-40.1,0.196329072,0.478197674,2.40%
6/19/2020,-40.1,0.196329072,0.478197674,2.40%
6/20/2020,-40.1,0.196329072,0.478197674,2.40%
6/21/2020,-40.1,0.196329072,0.478197674,2.40%
6/22/2020,-40.1,0.196329072,0.478197674,2.40%
6/23/2020,-40.1,0.196329072,0.478197674,2.40%
6/24/2020,-40.1,0.196329072,0.478197674,2.40%
6/25/2020,-40.1,0.196329072,0.478197674,2.40%
6/26/2020,-40.1,0.196329072,0.478197674,2.40%
6/27/2020,-40.1,0.196329072,0.478197674,2.40%
6/28/2020,-40.1,0.196329072,0.478197674,2.40%
6/29/2020,-40.1,0.196329072,0.478197674,2.40%
6/30/2020,-40.1,0.196329072,0.478197674,2.40%
7/1/2020,-40.1,0.196329072,0.478197674,2.40%
7/2/2020,-40.1,0.196329072,0.478197674,2.40%
7/3/2020,-40.1,0.196329072,0.478197674,2.40%
7/4/2020,-40.1,0.196329072,0.478197674,2.40%
7/5/2020,-40.1,0.196329072,0.478197674,2.40%
7/6/2020,-40.1,0.196329072,0.478197674,2.40%
7/7/2020,-40.1,0.196329072,0.478197674,2.40%
7/8/2020,-40.1,0.196329072,0.478197674,2.40%
7/9/2020,-40.1,0.196329072,0.478197674,2.40%
7/10/2020,-40.1,0.196329072,0.478197674,2.40%
7/11/2020,-40.1,0.196329072,0.478197674,2.40%
7/12/2020,-40.1,0.196329072,0.478197674,2.40%
7/13/2020,-40.1,0.196329072,0.478197674,2.40%
7/14/2020,-40.1,0.196329072,0.478197674,2.40%
7/15/2020,-40.1,0.196329072,0.478197674,2.40%
7/16/2020,-40.1,0.196329072,0.478197674,2.40%
7/17/2020,-40.1,0.196329072,0.478197674,2.40%
7/18/2020,-40.1,0.196329072,0.478197674,2.40%
7/19/2020,-40.1,0.196329072,0.478197674,2.40%
7/20/2020,-40.1,0.196329072,0.478197674,2.40%
7/21/2020,-40.1,0.196329072,0.478197674,2.40%
7/22/2020,-40.1,0.196329072,0.478197674,2.40%
7/23/2020,-40.1,0.196329072,0.478197674,2.40%
7/24/2020,-40.1,0.196329072,0.478197674,2.40%
7/25/2020,-40.1,0.196329072,0.478197674,2.40%
7/26/2020,-40.1,0.196329072,0.478197674,2.40%
7/27/2020,-40.1,0.196329072,0.478197674,2.40%
7/28/2020,-40.1,0.196329072,0.478197674,2.40%
7/29/2020,-40.1,0.196329072,0.478197674,2.40%
7/30/2020,-40.1,0.196329072,0.478197674,2.40%
7/31/2020,-40.1,0.196329072,0.478197674,2.40%
8/1/2020,-40.1,0.196329072,0.478197674,2.40%
8/2/2020,-40.1,0.196329072,0.478197674,2.40%
8/3/2020,-40.1,0.196329072,0.478197674,2.40%
8/4/2020,-40.1,0.196329072,0.478197674,2.40%
8/5/2020,-40.1,0.196329072,0.478197674,2.40%
8/6/2020,-40.1,0.196329072,0.478197674,2.40%
8/7/2020,-40.1,0.196329072,0.478197674,2.40%
8/8/2020,-40.1,0.196329072,0.478197674,2.40%
8/9/2020,-40.1,0.196329072,0.478197674,2.40%
8/10/2020,-40.1,0.196329072,0.478197674,2.40%
8/11/2020,-40.1,0.196329072,0.478197674,2.40%
8/12/2020,-40.1,0.196329072,0.478197674,2.40%
8/13/2020,-40.1,0.196329072,0.478197674,2.40%
8/14/2020,-40.1,0.196329072,0.478197674,2.40%
8/15/2020,-40.1,0.196329072,0.478197674,2.40%
8/16/2020,-40.1,0.196329072,0.478197674,2.40%
8/17/2020,-40.1,0.196329072,0.478197674,2.40%
8/18/2020,-40.1,0.196329072,0.478197674,2.40%
8/19/2020,-40.1,0.196329072,0.478197674,2.40%
8/20/2020,-40.1,0.196329072,0.478197674,2.40%
8/21/2020,-40.1,0.196329072,0.478197674,2.40%
8/22/2020,-40.1,0.196329072,0.478197674,2.40%
8/23/2020,-40.1,0.196329072,0.478197674,2.40%
8/24/2020,-40.1,0.196329072,0.478197674,2.40%
8/25/2020,-40.1,0.196329072,0.478197674,2.40%
8/26/2020,-40.1,0.196329072,0.478197674,2.40%
8/27/2020,-40.1,0.196329072,0.478197674,2.40%
8/28/2020,-40.1,0.196329072,0.478197674,2.40%
8/29/2020,-40.1,0.196329072,0.478197674,2.40%
8/30/2020,-40.1,0.196329072,0.478197674,2.40%
8/31/2020,-40.1,0.196329072,0.478197674,2.40%
9/1/2020,-40.1,0.196329072,0.478197674,2.40%
9/2/2020,-40.1,0.196329072,0.478197674,2.40%
9/3/2020,-40.1,0.196329072,0.478197674,2.40%
9/4/2020,-40.1,0.196329072,0.478197674,2.40%
9/5/2020,-40.1,0.196329072,0.478197674,2.40%
9/6/2020,-40.1,0.196329072,0.478197674,2.40%
9/7/2020,-40.1,0.196329072,0.478197674,2.40%
9/8/2020,-40.1,0.196329072,0.478197674,2.40%
9/9/2020,-40.1,0.196329072,0.478197674,2.40%
9/10/2020,-40.1,0.196329072,0.478197674,2.40%
9/11/2020,-40.1,0.196329072,0.478197674,2.40%
9/12/2020,-40.1,0.196329072,0.478197674,2.40%
9/13/2020,-40.1,0.196329072,0.478197674,2.40%
9/14/2020,-40.1,0.196329072,0.478197674,2.40%
9/15/2020,-40.1,0.196329072,0.478197674,2.40%
9/16/2020,-40.1,0.196329072,0.478197674,2.40%
9/17/2020,-40.1,0.196329072,0.478197674,2.40%
9/18/2020,-40.1,0.196329072,0.478197674,2.40%
9/19/2020,-40.1,0.196329072,0.478197674,2.40%
9/20/2020,-40.1,0.196329072,0.478197674,2.40%
9/21/2020,-40.1,0.196329072,0.478197674,2.40%
9/22/2020,-40.1,0.196329072,0.478197674,2.40%
9/23/2020,-40.1,0.196329072,0.478197674,2.40%
9/24/2020,-40.1,0.196329072,0.478197674,2.40%
9/25/2020,-40.1,0.196329072,0.478197674,2.40%
9/26/2020,-40.1,0.196329072,0.478197674,2.40%
9/27/2020,-40.1,0.196329072,0.478197674,2.40%
9/28/2020,-40.1,0.196329072,0.478197674,2.40%
9/29/2020,-40.1,0.196329072,0.478197674,2.40%
9/30/2020,-40.1,0.196329072,0.478197674,2.40%
10/1/2020,23.6,0.229081793,0.045886595,1.60%
10/2/2020,23.6,0.229081793,0.045886595,1.60%
10/3/2020,23.6,0.229081793,0.045886595,1.60%
10/4/2020,23.6,0.229081793,0.045886595,1.60%
10/5/2020,23.6,0.229081793,0.045886595,1.60%
10/6/2020,23.6,0.229081793,0.045886595,1.60%
10/7/2020,23.6,0.229081793,0.045886595,1.60%
10/8/2020,23.6,0.229081793,0.045886595,1.60%
10/9/2020,23.6,0.229081793,0.045886595,1.60%
10/10/2020,23.6,0.229081793,0.045886595,1.60%
10/11/2020,23.6,0.229081793,0.045886595,1.60%
10/12/2020,23.6,0.229081793,0.045886595,1.60%
10/13/2020,23.6,0.229081793,0.045886595,1.60%
10/14/2020,23.6,0.229081793,0.045886595,1.60%
10/15/2020,23.6,0.229081793,0.045886595,1.60%
10/16/2020,23.6,0.229081793,0.045886595,1.60%
10/17/2020,23.6,0.229081793,0.045886595,1.60%
10/18/2020,23.6,0.229081793,0.045886595,1.60%
10/19/2020,23.6,0.229081793,0.045886595,1.60%
10/20/2020,23.6,0.229081793,0.045886595,1.60%
10/21/2020,23.6,0.229081793,0.045886595,1.60%
10/22/2020,23.6,0.229081793,0.045886595,1.60%
10/23/2020,23.6,0.229081793,0.045886595,1.60%
10/24/2020,23.6,0.229081793,0.045886595,1.60%
10/25/2020,23.6,0.229081793,0.045886595,1.60%
10/26/2020,23.6,0.229081793,0.045886595,1.60%
10/27/2020,23.6,0.229081793,0.045886595,1.60%
10/28/2020,23.6,0.229081793,0.045886595,1.60%
10/29/2020,23.6,0.229081793,0.045886595,1.60%
10/30/2020,23.6,0.229081793,0.045886595,1.60%
10/31/2020,23.6,0.229081793,0.045886595,1.60%
11/1/2020,23.6,0.229081793,0.045886595,1.60%
11/2/2020,23.6,0.229081793,0.045886595,1.60%
11/3/2020,23.6,0.229081793,0.045886595,1.60%
11/4/2020,23.6,0.229081793,0.045886595,1.60%
11/5/2020,23.6,0.229081793,0.045886595,1.60%
11/6/2020,23.6,0.229081793,0.045886595,1.60%
11/7/2020,23.6,0.229081793,0.045886595,1.60%
11/8/2020,23.6,0.229081793,0.045886595,1.60%
11/9/2020,23.6,0.229081793,0.045886595,1.60%
11/10/2020,23.6,0.229081793,0.045886595,1.60%
11/11/2020,23.6,0.229081793,0.045886595,1.60%
11/12/2020,23.6,0.229081793,0.045886595,1.60%
11/13/2020,23.6,0.229081793,0.045886595,1.60%
11/14/2020,23.6,0.229081793,0.045886595,1.60%
11/15/2020,23.6,0.229081793,0.045886595,1.60%
11/16/2020,23.6,0.229081793,0.045886595,1.60%
11/17/2020,23.6,0.229081793,0.045886595,1.60%
11/18/2020,23.6,0.229081793,0.045886595,1.60%
11/19/2020,23.6,0.229081793,0.045886595,1.60%
11/20/2020,23.6,0.229081793,0.045886595,1.60%
11/21/2020,23.6,0.229081793,0.045886595,1.60%
11/22/2020,23.6,0.229081793,0.045886595,1.60%
11/23/2020,23.6,0.229081793,0.045886595,1.60%
11/24/2020,23.6,0.229081793,0.045886595,1.60%
11/25/2020,23.6,0.229081793,0.045886595,1.60%
11/26/2020,23.6,0.229081793,0.045886595,1.60%
11/27/2020,23.6,0.229081793,0.045886595,1.60%
11/28/2020,23.6,0.229081793,0.045886595,1.60%
11/29/2020,23.6,0.229081793,0.045886595,1.60%
11/30/2020,23.6,0.229081793,0.045886595,1.60%
12/1/2020,23.6,0.229081793,0.045886595,1.60%
12/2/2020,23.6,0.229081793,0.045886595,1.60%
12/3/2020,23.6,0.229081793,0.045886595,1.60%
12/4/2020,23.6,0.229081793,0.045886595,1.60%
12/5/2020,23.6,0.229081793,0.045886595,1.60%
12/6/2020,23.6,0.229081793,0.045886595,1.60%
12/7/2020,23.6,0.229081793,0.045886595,1.60%
12/8/2020,23.6,0.229081793,0.045886595,1.60%
12/9/2020,23.6,0.229081793,0.045886595,1.60%
12/10/2020,23.6,0.229081793,0.045886595,1.60%
12/11/2020,23.6,0.229081793,0.045886595,1.60%
12/12/2020,23.6,0.229081793,0.045886595,1.60%
12/13/2020,23.6,0.229081793,0.045886595,1.60%
12/14/2020,23.6,0.229081793,0.045886595,1.60%
12/15/2020,23.6,0.229081793,0.045886595,1.60%
12/16/2020,23.6,0.229081793,0.045886595,1.60%
12/17/2020,23.6,0.229081793,0.045886595,1.60%
12/18/2020,23.6,0.229081793,0.045886595,1.60%
12/19/2020,23.6,0.229081793,0.045886595,1.60%
12/20/2020,23.6,0.229081793,0.045886595,1.60%
12/21/2020,23.6,0.229081793,0.045886595,1.60%
12/22/2020,23.6,0.229081793,0.045886595,1.60%
12/23/2020,23.6,0.229081793,0.045886595,1.60%
12/24/2020,23.6,0.229081793,0.045886595,1.60%
12/25/2020,23.6,0.229081793,0.045886595,1.60%
12/26/2020,23.6,0.229081793,0.045886595,1.60%
12/27/2020,23.6,0.229081793,0.045886595,1.60%
12/28/2020,23.6,0.229081793,0.045886595,1.60%
12/29/2020,23.6,0.229081793,0.045886595,1.60%
12/30/2020,23.6,0.229081793,0.045886595,1.60%
12/31/2020,23.6,0.229081793,0.045886595,1.60%
1/1/2021,23.6,0.229081793,0.045886595,1.60%
